iter	Passed	Remaining
476	8174	163193
477	8184	163047
478	8194	162875
479	8214	162917
480	8223	162752
481	8243	162790
482	8273	163030
483	8284	162873
484	8294	162719
485	8303	162556
486	8323	162594
487	8343	162631
488	8353	162477
489	8363	162314
490	8372	162145
491	8383	162011
492	8402	162040
493	8422	162078
494	8432	161924
495	8452	161958
496	8462	161800
497	8512	162416
498	8521	162258
499	8532	162118
500	8542	161960
501	8561	161980
502	8571	161841
503	8591	161876
504	8602	161735
505	8611	161575
506	8621	161434
507	8641	161463
508	8661	161501
509	8680	161532
510	8701	161585
511	8730	161796
512	8741	161652
513	8752	161533
514	8760	161348
515	8771	161212
516	8810	161602
517	8840	161829
518	8860	161861
519	8880	161896
520	8890	161749
521	8930	162147
522	8959	162358
523	8970	162215
524	8989	162247
525	8992	161963
526	9029	162315
527	9039	162163
528	9079	162547
529	9099	162580
530	9129	162795
531	9139	162648
532	9149	162507
533	9151	162221
534	9169	162218
535	9197	162394
536	9218	162442
537	9227	162295
538	9237	162145
539	9258	162187
540	9267	162038
541	9287	162068
542	9308	162116
543	9327	162131
544	9347	162167
545	9357	162024
546	9377	162050
547	9387	161910
548	9396	161766
549	9417	161802
550	9436	161825
551	9456	161856
552	9486	162058
553	9506	162095
554	9526	162122
555	9536	161976
556	9556	162006
557	9565	161867
558	9575	161726
559	9585	161590
560	9605	161613
561	9635	161817
562	9645	161682
563	9666	161728
564	9675	161576
565	9697	161628
566	9726	161812
567	9736	161683
568	9747	161563
569	9774	161713
570	9795	161752
571	9804	161604
572	9814	161468
573	9824	161341
574	9854	161521
575	9864	161392
576	9874	161255
577	9903	161437
578	9913	161303
579	9923	161171
580	9932	161026
581	9942	160893
582	9962	160918
583	9971	160780
584	9991	160807
585	10011	160826
586	10022	160713
587	10041	160732
588	10061	160758
589	10071	160630
590	10091	160657
591	10109	160655
592	10130	160699
593	10141	160586
594	10150	160448
595	10160	160322
596	10190	160502
597	10210	160530
598	10230	160561
599	10240	160430
600	10250	160302
601	10260	160173
602	10289	160351
603	10310	160389
604	10339	160562
605	10359	160589
606	10379	160610
607	10398	160635
608	10419	160668
609	10448	160839
610	10478	161020
611	10498	161041
612	10508	160918
613	10528	160938
614	10538	160816
615	10558	160842
616	10568	160714
617	10588	160744
618	10590	160501
619	10597	160327
620	10607	160209
621	10617	160081
622	10619	159837
623	10627	159688
624	10637	159565
625	10647	159433
626	10657	159317
627	10689	159524
628	10706	159506
629	10716	159393
630	10726	159272
631	10736	159146
632	10766	159320
633	10795	159486
634	10807	159382
635	10816	159260
636	10826	159132
637	10856	159307
638	10886	159474
639	10895	159347
640	10905	159227
641	10925	159253
642	10935	159135
643	10955	159154
644	10975	159191
645	10985	159068
646	11005	159090
647	11014	158960
648	11035	159005
649	11054	159012
650	11084	159185
651	11104	159209
652	11114	159091
653	11124	158971
654	11134	158853
655	11143	158724
656	11163	158756
657	11193	158922
658	11213	158947
659	11223	158827
660	11233	158710
661	11243	158598
