iter	Logloss
381	0.3563379738
382	0.3562731741
383	0.3560398807
384	0.3559694185
385	0.3556133795
386	0.3556052138
387	0.3556031628
388	0.3554024778
389	0.3553426333
390	0.3551617889
391	0.3548963178
392	0.3547190779
393	0.3545069774
394	0.3544482065
395	0.3543328894
396	0.3543177472
397	0.3541484436
398	0.3540541667
399	0.3539435954
400	0.3539432535
401	0.3537762911
402	0.3536590404
403	0.3534427727
404	0.3532307078
405	0.3530894566
406	0.3530161181
407	0.3530160682
408	0.3529649075
409	0.3528442431
410	0.3527727357
411	0.3524594382
412	0.3523324671
413	0.3522314263
414	0.3522102125
415	0.3520770326
416	0.3519160774
417	0.3518375728
418	0.3517773124
419	0.3516122868
420	0.3515180814
421	0.3511019307
422	0.3509440875
423	0.350835985
424	0.3507654153
425	0.350580158
426	0.3503768258
427	0.3502480275
428	0.3501956361
429	0.350153874
430	0.3500448003
431	0.3499184308
432	0.3497609463
433	0.349599696
434	0.3495525835
435	0.3494796569
436	0.3493859521
437	0.3492226852
438	0.3490826335
439	0.3490335982
440	0.3489861291
441	0.3486818147
442	0.3486070825
443	0.3485111975
444	0.3483892626
445	0.3483664404
446	0.3481646409
447	0.3480208638
448	0.3479705998
449	0.3479145046
450	0.3478102592
451	0.3477700303
452	0.347744569
453	0.347594732
454	0.3474940391
455	0.3472991989
456	0.3472826021
457	0.3471529879
458	0.3470729837
459	0.3469669267
460	0.3469274433
461	0.3468120329
462	0.3467825233
463	0.3466958712
464	0.3466661145
465	0.3465520053
466	0.346490792
467	0.3464773895
468	0.3464527712
469	0.3464309866
470	0.3463832395
471	0.3462270722
472	0.3460091642
473	0.345862475
474	0.3457195064
475	0.3456921412
476	0.3456799481
477	0.3451884653
478	0.3449972158
479	0.3449167975
480	0.3447828565
481	0.3447179175
482	0.344508863
483	0.3443198481
484	0.3442628258
485	0.3441667673
486	0.3440896091
487	0.3440332899
488	0.3440011325
489	0.3438294757
490	0.343808926
491	0.3437207412
492	0.3435033385
493	0.3433544663
494	0.3431533832
495	0.3429864904
496	0.3429864889
497	0.3429165766
498	0.3428058899
499	0.3426162509
500	0.3425994611
501	0.3424612578
502	0.3422901747
503	0.3421967077
504	0.3421374703
505	0.342085276
506	0.3420221803
507	0.3419668999
508	0.3419396663
509	0.341928945
510	0.3416708938
511	0.3415265402
512	0.3413818576
513	0.3412738482
514	0.3412370596
515	0.3411445975
516	0.3409465444
517	0.340865924
518	0.3406487542
519	0.3404743163
520	0.3404366858
521	0.3403735328
522	0.3403249913
523	0.3400536825
524	0.3400159214
525	0.3399172765
526	0.3397339768
527	0.3396460384
528	0.3395820918
529	0.3395566615
530	0.3394529444
531	0.3393576965
532	0.3392280956
533	0.3391806188
534	0.3390751413
535	0.3390529337
536	0.3389072349
537	0.3388812915
538	0.3388812915
539	0.3387702313
540	0.338704103
541	0.3386897933
542	0.3385509493
543	0.338514149
544	0.3384527812
545	0.3383853009
546	0.3383055802
547	0.3382607833
548	0.3382391308
549	0.3380947229
550	0.3380042913
551	0.3378474148
552	0.3376596732
553	0.3376297165
554	0.3375239131
555	0.3374484206
556	0.3373942752
557	0.3373777694
558	0.3372185061
559	0.3371072355
560	0.3368807294
561	0.3368093125
562	0.3366331785
563	0.3364608771
564	0.3363638119
565	0.3363420857
566	0.3361840813
567	0.3361275212
568	0.3359962846
569	0.3359708675
570	0.3358677322
571	0.335794686
572	0.335482609
573	0.3353954005
574	0.3353664461
575	0.3352846517
576	0.3351560006
577	0.3350967422
578	0.3350780406
579	0.3350340549
580	0.3349614319
581	0.3348157967
582	0.3345293917
583	0.3344959649
584	0.3343751637
585	0.3343639567
586	0.3342686556
587	0.3341848877
588	0.3340665699
589	0.3340556963
590	0.3339875335
591	0.3338952558
592	0.3338545855
593	0.3337741773
594	0.3336360272
595	0.3334730735
596	0.3334443417
597	0.333384192
598	0.3333346553
599	0.3332822637
600	0.3331421301
601	0.3330352318
602	0.3330047583
603	0.3325634386
604	0.3324510448
605	0.3323574478
606	0.3321594415
607	0.3320932342
608	0.3320397893
609	0.3319241302
610	0.3318669321
611	0.3318395546
612	0.3317235695
613	0.3317122534
614	0.3316602048
615	0.3316117792
616	0.3315802302
617	0.3313270838
618	0.3312154648
619	0.3312014804
620	0.3309467543
621	0.3309118687
622	0.3307033448
623	0.3305153356
624	0.3304068449
625	0.3303191058
626	0.3302078505
627	0.3301264906
628	0.3300207488
629	0.3298963008
630	0.3297462508
631	0.329727325
632	0.3296505225
633	0.3296283587
634	0.3295904054
635	0.3293748997
636	0.3292116754
637	0.3290343722
638	0.328899588
639	0.3288927436
640	0.3288565758
641	0.3287045753
642	0.3285117948
643	0.3285033931
644	0.3284275742
645	0.3282589105
646	0.3281369208
647	0.3281276825
648	0.3280042771
649	0.3279951327
650	0.3278251466
651	0.3275653481
652	0.3272341643
653	0.3271387071
654	0.3271066368
655	0.3271066361
656	0.3270616322
657	0.3270510811
658	0.3269467055
659	0.3269380033
660	0.3268023969
661	0.3267376556
